"group","metric_id","label","count","denominator","percent","definition","snapshot_date"
"qualified_tier","priority","Priority signal","50","402","12.4","85–100: Current hiring, expansion, volume, shift, or explicit process-improvement evidence.","2026-07-15"
"qualified_tier","strong","Strong fit","73","402","18.2","75–84: Strong operational fit with better-than-structural timing evidence.","2026-07-15"
"qualified_tier","structural","Structural fit","279","402","69.4","65–74: Evidence threshold met; timing, volume, CMS, and workflow still need discovery.","2026-07-15"
"coverage_ledger","qualified","Qualified","402","1203","33.4","Canonical accounts at or above the evidence threshold.","2026-07-15"
"coverage_ledger","excluded","Excluded","309","1203","25.7","Reviewed and found outside the target or evidence standard.","2026-07-15"
"coverage_ledger","unresolved","Unresolved","489","1203","40.6","Kept as explicit research gaps for later human review.","2026-07-15"
"coverage_ledger","duplicate_alias","Duplicate alias","3","1203","0.2","Related identity retained in the ledger but suppressed as a separate account.","2026-07-15"
"website_discovery","customs_workflow","Customs + workflow terms","469","854","54.9","Public pages exposed both customs and workflow or document terms.","2026-07-15"
"website_discovery","customs_only","Customs terms only","80","854","9.4","Customs terms appeared without a matching workflow excerpt.","2026-07-15"
"website_discovery","insufficient","Insufficient public-page signal","305","854","35.7","No usable site, blocked fetch, or no matching extractable terms.","2026-07-15"
"product_fit","cms_preservation","CMS-preservation fit","397","402","98.8","Qualified accounts rated 4 or 5 for product fit under the research rubric; not software market share.","2026-07-15"
